invoice_id,provider_id,country,invoice_date,payment_terms,subtotal,tax,total,is_fraud,fraud_type
INV_000000,356f2c48-dc1d-4641-a395-e90f4daceb49,HN,2025-10-05,NET60,4905.65,735.85,5641.5,0,NONE
INV_000001,c51ec10d-a13b-422b-976c-efcf5dd25eaf,IS,2025-06-03,NET30,5638.69,845.8,6484.49,0,NONE
INV_000002,ae976ea4-baf5-4235-91a7-efee61466624,UA,2025-11-01,NET30,4746.35,711.95,5458.3,0,NONE
INV_000003,356f2c48-dc1d-4641-a395-e90f4daceb49,HN,2025-02-09,NET30,8099.35,1214.9,9314.25,0,NONE
INV_000004,f6d81f5e-1308-4745-9a02-5771140cdf8b,SZ,2025-07-14,NET30,64184.49,9627.67,73812.16,1,QUANTITY
INV_000005,a9a3dcab-8105-4463-844d-cd8a9bb1a830,CA,2025-04-30,NET60,17691.42,2653.71,20345.13,1,DUPLICATE
INV_000006,f6d81f5e-1308-4745-9a02-5771140cdf8b,SZ,2025-03-10,NET30,14967.18,2245.08,17212.26,0,NONE
INV_000007,6d27dc16-7299-4cdf-9901-d9925578473c,GR,2025-09-25,NET90,726.06,108.91,834.97,0,NONE
INV_000008,356f2c48-dc1d-4641-a395-e90f4daceb49,HN,2025-12-11,NET30,4107.72,616.16,4723.88,0,NONE
INV_000009,2cb41fac-7ecb-4a6d-8714-62647a8b1673,CG,2025-03-06,NET30,2737.18,410.58,3147.76,0,NONE
INV_000010,c51ec10d-a13b-422b-976c-efcf5dd25eaf,IS,2025-11-24,NET90,2909.77,436.47,3346.24,0,NONE
INV_000011,c51ec10d-a13b-422b-976c-efcf5dd25eaf,IS,2025-06-26,NET30,2719.48,407.92,3127.4,0,NONE
INV_000012,12135baa-d2fb-4d7a-89c7-f589d65517ed,NO,2025-08-31,NET30,5939.46,890.92,6830.38,0,NONE
INV_000013,16ccf49a-1d1d-47ee-90b0-f7d306a2bbab,BW,2025-10-08,NET30,2486.23,372.93,2859.16,0,NONE
INV_000014,356f2c48-dc1d-4641-a395-e90f4daceb49,HN,2025-08-03,NET90,7660.43,1149.06,8809.49,0,NONE
INV_000015,780662b5-e665-4015-9d4b-edce767d9486,AT,2025-09-19,NET30,11089.04,1663.36,12752.4,0,NONE
INV_000016,3281d036-9d6b-456f-9630-4ee5761d7e8a,GD,2025-04-04,NET30,1561.9,234.28,1796.18,0,NONE
INV_000017,eb41e38f-e554-41c1-a0e3-ca890350e9ec,AU,2025-11-10,NET60,10027.27,1504.09,11531.36,0,NONE
INV_000018,1afdcffd-f8f3-4bc3-a53f-3c1b6997e688,LK,2025-01-03,NET30,9847.52,1477.13,11324.65,0,NONE
INV_000019,ae976ea4-baf5-4235-91a7-efee61466624,UA,2025-07-13,NET30,3160.2,474.03,3634.23,0,NONE
INV_000020,c0b28020-1534-4406-a7cc-cfa62176fcba,CU,2025-07-30,NET30,6933.84,1040.08,7973.92,0,NONE
INV_000021,a9a3dcab-8105-4463-844d-cd8a9bb1a830,CA,2025-04-26,NET30,8214.95,1232.24,9447.19,0,NONE
INV_000022,12135baa-d2fb-4d7a-89c7-f589d65517ed,NO,2025-04-18,NET30,3869.4,580.41,4449.81,0,NONE
INV_000023,3281d036-9d6b-456f-9630-4ee5761d7e8a,GD,2025-04-18,NET60,4773.52,716.03,5489.55,0,NONE
INV_000024,5b9afaad-272e-4cba-bfbc-9a4f4e0434c1,GM,2025-11-12,NET60,4541.8,681.27,5223.07,0,NONE
INV_000025,ae976ea4-baf5-4235-91a7-efee61466624,UA,2025-01-15,NET30,4328.32,649.25,4977.57,0,NONE
INV_000026,6d27dc16-7299-4cdf-9901-d9925578473c,GR,2025-06-09,NET60,4815.5,722.32,5537.82,0,NONE
