invoice_id,item,quantity,unit_price,line_total
INV_000000,Item 1,2,279.57,559.14
INV_000000,Item 2,2,290.28,580.56
INV_000000,Item 3,4,371.52,1486.08
INV_000000,Item 4,8,183.49,1467.92
INV_000000,Item 5,3,270.65,811.95
INV_000001,Item 1,2,332.55,665.1
INV_000001,Item 2,5,339.69,1698.45
INV_000001,Item 3,9,302.2,2719.8
INV_000001,Item 4,1,289.26,289.26
INV_000001,Item 5,1,266.08,266.08
INV_000002,Item 1,5,390.35,1951.75
INV_000002,Item 2,3,444.72,1334.16
INV_000002,Item 3,1,341.78,341.78
INV_000002,Item 4,3,300.98,902.94
INV_000002,Item 5,1,215.72,215.72
INV_000003,Item 1,3,372.02,1116.06
INV_000003,Item 2,6,322.9,1937.4
INV_000003,Item 3,9,383.26,3449.34
INV_000003,Item 4,5,319.31,1596.55
INV_000004,Item 1,30,813.4,24402.0
INV_000004,Item 2,24,687.64,16503.36
INV_000004,Item 3,3,922.34,2767.02
INV_000004,Item 4,12,863.73,10364.76
INV_000004,Item 5,15,676.49,10147.35
INV_000005,Item 1,7,547.31,3831.17
INV_000005,Item 2,6,702.16,4212.96
INV_000005,Item 3,8,660.46,5283.68
INV_000005,Item 4,6,622.66,3735.96
INV_000005,Item 5,1,627.65,627.65
INV_000006,Item 1,7,662.24,4635.68
INV_000006,Item 2,9,610.89,5498.01
INV_000006,Item 3,1,793.84,793.84
INV_000006,Item 4,5,807.93,4039.65
INV_000007,Item 1,2,313.03,626.06
INV_000007,Item 2,2,50.0,100.0
INV_000008,Item 1,6,213.28,1279.68
INV_000008,Item 2,6,381.46,2288.76
INV_000008,Item 3,2,269.64,539.28
INV_000009,Item 1,3,675.48,2026.44
INV_000009,Item 2,1,710.74,710.74
INV_000010,Item 1,7,138.47,969.29
INV_000010,Item 2,8,242.56,1940.48
INV_000011,Item 1,6,252.16,1512.96
INV_000011,Item 2,4,301.63,1206.52
INV_000012,Item 1,3,243.86,731.58
INV_000012,Item 2,7,395.29,2767.03
INV_000012,Item 3,5,488.17,2440.85
INV_000013,Item 1,5,391.43,1957.15
INV_000013,Item 2,1,529.08,529.08
INV_000014,Item 1,2,353.59,707.18
INV_000014,Item 2,3,232.08,696.24
INV_000014,Item 3,3,504.73,1514.19
INV_000014,Item 4,5,407.3,2036.5
INV_000014,Item 5,8,338.29,2706.32
INV_000015,Item 1,4,410.56,1642.24
INV_000015,Item 2,8,647.5,5180.0
INV_000015,Item 3,4,559.72,2238.88
INV_000015,Item 4,4,506.98,2027.92
INV_000016,Item 1,4,160.03,640.12
INV_000016,Item 2,3,307.26,921.78
INV_000017,Item 1,9,563.91,5075.19
INV_000017,Item 2,9,423.0,3807.0
INV_000017,Item 3,1,339.22,339.22
INV_000017,Item 4,2,402.93,805.86
INV_000018,Item 1,7,646.43,4525.01
INV_000018,Item 2,7,544.68,3812.76
INV_000018,Item 3,3,503.25,1509.75
INV_000019,Item 1,5,159.9,799.5
INV_000019,Item 2,6,393.45,2360.7
INV_000020,Item 1,8,613.07,4904.56
INV_000020,Item 2,4,507.32,2029.28
INV_000021,Item 1,5,572.27,2861.35
INV_000021,Item 2,7,764.8,5353.6
INV_000022,Item 1,7,265.3,1857.1
INV_000022,Item 2,5,402.46,2012.3
INV_000023,Item 1,2,293.64,587.28
INV_000023,Item 2,1,418.43,418.43
INV_000023,Item 3,9,387.88,3490.92
INV_000023,Item 4,1,276.89,276.89
INV_000024,Item 1,5,511.6,2558.0
INV_000024,Item 2,4,495.95,1983.8
INV_000025,Item 1,2,294.69,589.38
INV_000025,Item 2,3,227.55,682.65
